time,jain
0.00511428,0.25
0.0102286,0.25
0.0153428,0.25
0.0204571,0.25
0.0255714,0.25
0.0306857,0.25
0.0358,0.25
0.0409142,0.25
0.0460285,0.25
0.0511428,0.25
0.0562571,0.25
0.0613714,0.25
0.0664856,0.25
0.0715999,0.25
0.0767142,0.25
0.0818285,0.25
0.0869428,0.25
0.092057,0.25
0.0971713,0.25
0.102286,0.25
0.1074,0.25
0.112514,0.25
0.117628,0.25
0.122743,0.25
0.127857,0.25
0.132971,0.25
0.138086,0.25
0.1432,0.25
0.148314,0.25
0.153428,0.25
0.158543,0.25
0.163657,0.25
0.168771,0.25
0.173886,0.25
0.179,0.25
0.184114,0.25
0.189228,0.25
0.194343,0.25
0.199457,0.25
0.204571,0.49870041867793724
0.209685,0.5
0.2148,0.5
0.219914,0.25
0.225028,0.49958556911323293
0.230143,0.49999551558273375
0.235257,0.49900990410160306
0.240371,0.4867044493980411
0.245485,0.4975448064372082
0.2506,0.4963008018345422
0.255714,0.4973599276490801
0.260828,0.4965859919277733
0.265943,0.4975662914363132
0.271057,0.4968994192316537
0.276171,0.49779250518498325
0.281285,0.496970939173491
0.2864,0.49778578086211633
0.291514,0.4971848545794425
0.296628,0.498013663413241
0.301743,0.49742384234491266
0.306857,0.49815936491678436
0.311971,0.4975420499049762
0.317085,0.49828254719387793
0.3222,0.49780126258889845
0.327314,0.4983641335136937
0.332428,0.4978181384597915
0.337542,0.4984801242630166
0.342657,0.4979669804171082
0.347771,0.49854131555406644
0.352885,0.4979931989929271
0.358,0.49857485151387465
0.363114,0.49815752801853896
0.368228,0.4986532187408799
0.373342,0.4982029277801157
0.378457,0.49870477876372876
0.383571,0.49838649613370944
0.388685,0.498882745954782
0.3938,0.49844984324429825
0.398914,0.49885434411080665
0.404028,0.6798824537886072
0.409142,0.6301518490232622
0.414257,0.6286532593918318
0.419371,0.47420936667138697
0.424485,0.6461429619600064
0.4296,0.6277188037602319
0.434714,0.5674164510717686
0.439828,0.6730161480799147
0.444942,0.6784601398836718
0.450057,0.6868834100844188
0.455171,0.6988621839271401
0.460285,0.6992436387025958
0.465399,0.5182741444773452
0.470514,0.700692369272115
0.475628,0.7044798117723176
0.480742,0.41231814336502404
0.485857,0.577739688182578
0.490971,0.5783978909416991
0.496085,0.5847895474097168
0.501199,0.6599956373399029
0.506314,0.7337780290572211
0.511428,0.7475185898714335
0.516542,0.7396949307816261
0.521657,0.7313399503333461
0.526771,0.6407819854581315
0.531885,0.6837475637954186
0.536999,0.7246817325528349
0.542114,0.7374816257539237
0.547228,0.7227160497386331
0.552342,0.7123721343585974
0.557457,0.7213890554672886
0.562571,0.7258093251613286
0.567685,0.6942529831913687
0.572799,0.6273156393328178
0.577914,0.6762319263694624
0.583028,0.6973192521207825
0.588142,0.7257961339472185
0.593256,0.494867846633786
0.598371,0.6634223606710079
0.603485,0.33141438422327407
0.608599,0.3131253477799298
0.613714,0.31364598490554013
0.618828,0.3649134366418431
0.623942,0.3303444072896663
0.629056,0.31720145234906194
0.634171,0.408880506715123
0.639285,0.38721665688410806
0.644399,0.38084742574861397
0.649514,0.41429929089020506
0.654628,0.6289620301415196
0.659742,0.6972191683123484
0.664856,0.49514951232185006
0.669971,0.5244576457236559
0.675085,0.9196368405844593
0.680199,0.7286951042325482
0.685314,0.7610047893747339
0.690428,0.826344628615159
0.695542,0.8256901142543693
0.700656,0.7345160473337438
0.705771,0.8492703273351777
0.710885,0.784981566381458
0.715999,0.8940611619207042
0.721113,0.9344913888356176
0.726228,0.8855578782382523
0.731342,0.7211229272114256
0.736456,0.8725547150765376
0.741571,0.8970169053765441
0.746685,0.9217900252468075
0.751799,0.9348263627255491
0.756913,0.9051053002814726
0.762028,0.8749387800293462
0.767142,0.9185417863683618
0.772256,0.914020303154657
0.777371,0.9614476648852803
0.782485,0.896179202122947
0.787599,0.7574854431446798
0.792713,0.9053014525797066
0.797828,0.969801081982812
