time,jain
0.00511428,0.25
0.0102286,0.25
0.0153428,0.25
0.0204571,0.25
0.0255714,0.25
0.0306857,0.25
0.0358,0.25
0.0409142,0.25
0.0460285,0.25
0.0511428,0.25
0.0562571,0.25
0.0613714,0.25
0.0664856,0.25
0.0715999,0.25
0.0767142,0.25
0.0818285,0.25
0.0869428,0.25
0.092057,0.25
0.0971713,0.25
0.102286,0.25
0.1074,0.25
0.112514,0.25
0.117628,0.25
0.122743,0.25
0.127857,0.25
0.132971,0.25
0.138086,0.25
0.1432,0.25
0.148314,0.25
0.153428,0.25
0.158543,0.25
0.163657,0.25
0.168771,0.25
0.173886,0.25
0.179,0.25
0.184114,0.25
0.189228,0.25
0.194343,0.25
0.199457,0.25
0.204571,0.49870041867793724
0.209685,0.5
0.2148,0.4999999974847632
0.219914,0.5
0.225028,0.5
0.230143,0.5
0.235257,0.4999997283242666
0.240371,0.4999999987826571
0.245485,0.49999611175733577
0.2506,0.5
0.255714,0.5
0.260828,0.5
0.265943,0.49999175019000425
0.271057,0.49999999911438664
0.276171,0.499998709575132
0.281285,0.5
0.2864,0.5
0.291514,0.5
0.296628,0.49981507067327924
0.301743,0.49999997762724324
0.306857,0.4999998769938944
0.311971,0.49992917716950797
0.317085,0.5
0.3222,0.5
0.327314,0.5
0.332428,0.499999638202478
0.337542,0.5
0.342657,0.49999964542565434
0.347771,0.5
0.352885,0.5
0.358,0.5
0.363114,0.4999899283881188
0.368228,0.4999999999677011
0.373342,0.49999902524472617
0.378457,0.5
0.383571,0.5
0.388685,0.5
0.3938,0.4999471968971663
0.398914,0.49999999985887444
0.404028,0.7465415460067233
0.409142,0.25100048999105207
0.414257,0.25100048999105207
0.419371,0.2516809617361945
0.424485,0.513175471706172
0.4296,0.5010015670098318
0.434714,0.5010183904449979
0.439828,0.6010481969651567
0.444942,0.6088932802284992
0.450057,0.6709615661097164
0.455171,0.745682024965548
0.460285,0.75
0.465399,0.75
0.470514,0.75
0.475628,0.75
0.480742,0.6828093902551692
0.485857,0.6789395836529438
0.490971,0.652098099959294
0.496085,0.7238015179703533
0.501199,0.6712930216283227
0.506314,0.75
0.511428,0.75
0.516542,0.7340437020518045
0.521657,0.7337632393017831
0.526771,0.7334838156887251
0.531885,0.7410898160447712
0.536999,0.7416226664217566
0.542114,0.7498608117111659
0.547228,0.7315394378386427
0.552342,0.7363651310879391
0.557457,0.7332448130178845
0.562571,0.730039086821925
0.567685,0.7335406384864283
0.572799,0.7414281189773786
0.577914,0.7343523369185657
0.583028,0.7345359223628704
0.588142,0.7334314441923324
0.593256,0.7298045734536159
0.598371,0.7320282210872532
0.603485,0.5922673285150738
0.608599,0.48938534212826257
0.613714,0.5189304784235699
0.618828,0.9999999264990755
0.623942,0.9999999969281474
0.629056,0.4941795842979656
0.634171,0.504158974875986
0.639285,0.5175460011513846
0.644399,0.9999999969281474
0.649514,0.9999999969281474
0.654628,0.5193622950055211
0.659742,0.5277452823001596
0.664856,0.5434954459359316
0.669971,0.9999999969281474
0.675085,0.9999999969281474
0.680199,0.5408773072558095
0.685314,0.5491088616721188
0.690428,0.5618842350168896
0.695542,0.9999999969281474
0.700656,0.9999999969281474
0.705771,0.56156630194803
0.710885,0.5705176976610388
0.715999,0.5817052844444911
0.721113,0.9999999969281474
0.726228,0.9999999264990755
0.731342,0.5815506050445152
0.736456,0.5912760860334898
0.741571,0.5992847002661563
0.746685,0.9999999969281474
0.751799,0.9999999969281474
0.756913,0.6089699996045446
0.762028,0.611566327104412
0.767142,0.6181709618248128
0.772256,0.9999999969281474
0.777371,0.9999999969281474
0.782485,0.6332763483941126
0.787599,0.6294852496539094
0.792713,0.6377988970486916
0.797828,0.9999999264990755
