time,jain
0.00511428,0.25
0.0102286,0.25
0.0153428,0.25
0.0204571,0.25
0.0255714,0.25
0.0306857,0.25
0.0358,0.25
0.0409142,0.25
0.0460285,0.25
0.0511428,0.25
0.0562571,0.25
0.0613714,0.25
0.0664856,0.25
0.0715999,0.25
0.0767142,0.25
0.0818285,0.25
0.0869428,0.25
0.092057,0.25
0.0971713,0.25
0.102286,0.25
0.1074,0.25
0.112514,0.25
0.117628,0.25
0.122743,0.25
0.127857,0.25
0.132971,0.25
0.138086,0.25
0.1432,0.25
0.148314,0.25
0.153428,0.25
0.158543,0.25
0.163657,0.25
0.168771,0.25
0.173886,0.25
0.179,0.25
0.184114,0.25
0.189228,0.25
0.194343,0.25
0.199457,0.25
0.204571,0.25056045757194684
0.209685,0.2504955530132217
0.2148,0.250503814488468
0.219914,0.2504955530132217
0.225028,0.25156329245176207
0.230143,0.25207064629620257
0.235257,0.25648967808849443
0.240371,0.2586679041395053
0.245485,0.2770557212894242
0.2506,0.28608564117333496
0.255714,0.3578381023740586
0.260828,0.3906878805650772
0.265943,0.4931741603336662
0.271057,0.5
0.276171,0.5
0.281285,0.5
0.2864,0.5
0.291514,0.5
0.296628,0.5
0.301743,0.5
0.306857,0.5
0.311971,0.5
0.317085,0.5
0.3222,0.5
0.327314,0.5
0.332428,0.5
0.337542,0.5
0.342657,0.5
0.347771,0.5
0.352885,0.5
0.358,0.5
0.363114,0.5
0.368228,0.5
0.373342,0.5
0.378457,0.5
0.383571,0.5
0.388685,0.5
0.3938,0.5
0.398914,0.5
0.404028,0.2512728626743048
0.409142,0.25099159619846656
0.414257,0.25100813561195157
0.419371,0.25099159619846656
0.424485,0.2524900237906106
0.4296,0.25414979672014726
0.434714,0.260332189515419
0.439828,0.26749106811930995
0.444942,0.2937817104846267
0.450057,0.32439977231763073
0.455171,0.4342025507746947
0.460285,0.5500482663677926
0.465399,0.7173133241734674
0.470514,0.75
0.475628,0.75
0.480742,0.75
0.485857,0.75
0.490971,0.75
0.496085,0.75
0.501199,0.75
0.506314,0.7499541915623001
0.511428,0.7499546936748345
0.516542,0.7499541915623001
0.521657,0.7499546936748345
0.526771,0.75
0.531885,0.75
0.536999,0.75
0.542114,0.75
0.547228,0.75
0.552342,0.75
0.557457,0.75
0.562571,0.75
0.567685,0.75
0.572799,0.7499541915623001
0.577914,0.7499546936748345
0.583028,0.7499541915623001
0.588142,0.7499546936748345
0.593256,0.75
0.598371,0.75
0.603485,0.2522086419537741
0.608599,0.25148812955429
0.613714,0.25151296336890755
0.618828,0.25148812955429
0.623942,0.2531031264614844
0.629056,0.25623745083429644
0.634171,0.26286551145103737
0.639285,0.2766113533273362
0.644399,0.3047984746085634
0.649514,0.3657151117573748
0.654628,0.4890874011492981
0.659742,0.7224056177313887
0.664856,0.925536595285655
0.669971,1.0
0.675085,1.0
0.680199,1.0
0.685314,0.9999483223266551
0.690428,0.9999491696737236
0.695542,0.9999483223266551
0.700656,0.9999491696737236
0.705771,0.9999316660031211
0.710885,0.9999316660031211
0.715999,0.9999316660031211
0.721113,0.9999316660031211
0.726228,1.0
0.731342,1.0
0.736456,1.0
0.741571,1.0
0.746685,1.0
0.751799,0.9999483223266551
0.756913,0.9999491696737236
0.762028,0.9999483223266551
0.767142,0.9999491696737236
0.772256,0.9999316660031211
0.777371,0.9999316660031211
0.782485,0.9999316660031211
0.787599,0.9999316660031211
0.792713,1.0
0.797828,1.0
